,blood_pressure,inter_beat,slope
64,"['103.5,104.06,104.58,105.63']","['104.0,108.0,110.0,112.0']",[3.569870214212528]
65,"['102.89,103.4,103.96,105.27']","['102.0,106.0,108.0,110.0']",[3.0739917434106103]
66,"['101.07,103.61,104.47,105.09']","['106.0,108.0,110.0,112.0']",[1.3786333176831884]
67,"['103.55,104.8,105.88,107.3']","['96.0,98.0,104.0,106.0']",[2.885192559378376]
68,"['102.76,103.23,104.09,105.33']","['106.0,108.0,110.0,114.0']",[3.0166406009723756]
69,"['102.2,103.24,103.76,104.36']","['106.0,108.0,110.0,114.0']",[3.552694325226552]
70,"['104.31,106.52,107.66,109.07']","['102.0,104.0,112.0,114.0']",[2.728485986851865]
71,"['102.7,105.6,105.98,106.53']","['100.0,102.0,112.0,114.0']",[3.2672244808544533]
72,"['104.41,106.66,107.43,107.88']","['100.0,104.0,110.0,112.0']",[3.3717324502939645]
73,"['102.28,104.15,104.96,105.74']","['104.0,106.0,108.0,110.0']",[1.6926654943559098]
74,"['102.19,104.18,105.31,106.84']","['100.0,104.0,110.0,112.0']",[2.7402500304279047]
75,"['103.15,105.51,106.43,106.86']","['98.0,100.0,108.0,110.0']",[3.1494055405983934]
76,"['103.38,105.06,105.95,107.05']","['96.0,104.0,106.0,114.0']",[4.701577357026026]
77,"['102.57,105.59,105.97,106.47']","['98.0,100.0,108.0,112.0']",[2.9746999395561495]
78,"['103.73,104.96,105.59,106.55']","['98.0,100.0,102.0,108.0']",[3.448707629013538]
79,"['102.45,104.1,105.06,106.4']","['100.0,102.0,110.0,114.0']",[3.781645712837522]
80,"['104.84,107.39,108.47,109.65']","['98.0,102.0,108.0,112.0']",[2.92461258391619]
81,"['105.7,106.63,106.95,107.18']","['96.0,104.0,108.0,110.0']",[9.496414217038245]
82,"['105.82,106.14,107.64,109.34']","['96.0,98.0,104.0,106.0']",[2.8346779882765243]
83,"['106.65,107.28,108.41,109.68']","['96.0,102.0,106.0,108.0']",[3.71391593044848]
84,"['103.9,105.97,106.2,106.57']","['100.0,108.0,112.0,116.0']",[5.4527750730282785]
85,"['105.48,106.74,106.88,107.2']","['102.0,106.0,108.0,112.0']",[5.111410023978219]
86,"['106.72,107.49,108.0,108.96']","['98.0,102.0,108.0,112.0']",[6.499551527168079]
87,"['105.62,107.95,108.63,109.24']","['98.0,102.0,106.0,108.0']",[2.70105011298686]
88,"['106.98,109.91,111.88,112.27']","['90.0,100.0,104.0,108.0']",[3.1552429696672775]
89,"['109.16,110.64,112.06,113.31']","['94.0,102.0,106.0,108.0']",[3.3464224631267903]
90,"['105.32,105.68,106.78,107.67']","['108.0,110.0,112.0,114.0']",[2.3716162637586566]
91,"['102.71,106.27,106.88,107.21']","['102.0,110.0,112.0,114.0']",[2.512137871513685]
92,"['120.15,120.71,121.85,122.33']","['104.0,108.0,112.0,114.0']",[4.366494913462751]
93,"['103.8,106.14,106.77,107.49']","['110.0,114.0,118.0,120.0']",[2.6779422128259105]
94,"['103.16,106.16,107.08,107.39']","['108.0,112.0,114.0,116.0']",[1.716214130923379]
95,"['106.04,106.48,107.12,107.73']","['108.0,112.0,114.0,120.0']",[6.624697041293934]
96,"['102.88,105.69,109.48,111.67']","['106.0,108.0,110.0,112.0']",[0.6569346245496619]
97,"['117.17,117.92,121.29,122.69']","['100.0,102.0,104.0,106.0']",[0.9481773277146811]
98,"['104.04,106.02,106.43,107.35']","['108.0,110.0,112.0,116.0']",[2.245421872325794]
